id,title,release_date,budget,revenue,crew_member,genres,belongs_to_collection,runtime
512021,The New Gods,,0,0,Ava DuVernay,"['Science Fiction', 'Action']",False,
12253,Biker Boyz,2003-01-31,24000000,23510601,Gina Prince-Bythewood,"['Action', 'Drama']",False,110
14736,Love & Basketball,2000-04-21,20000000,27728118,Gina Prince-Bythewood,"['Action', 'Comedy', 'Drama', 'Romance']",False,124
547016,The Old Guard,,0,0,Gina Prince-Bythewood,['Action'],False,
425908,Silver Sable,,0,0,Gina Prince-Bythewood,"['Action', 'Science Fiction']",False,
