id,title,release_date,budget,revenue,crew_member,genres,belongs_to_collection,runtime
407451,A Wrinkle in Time,2018-03-08,103000000,132675864,Ava DuVernay,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",False,109
512021,The New Gods,,0,0,Ava DuVernay,"['Science Fiction', 'Action']",False,
45167,Pumzi,2009-10-20,35000,0,Wanuri Kahiu,"['Science Fiction', 'Drama']",False,21
501098,Brown Girl Begins,2018-08-17,0,0,Sharon Lewis,"['Science Fiction', 'Fantasy']",False,70
431101,Chains,2009-02-01,0,0,Sharon Lewis,['Science Fiction'],False,10
549511,The Last Two Lovers at the End of the World,2017-12-01,0,0,Nefertite Nguvu,"['Drama', 'Romance', 'Science Fiction']",False,20
634523,Miss Universe,,0,0,Lupita Nyong'o,"['Science Fiction', 'Comedy']",False,
425908,Silver Sable,,0,0,Gina Prince-Bythewood,"['Action', 'Science Fiction']",False,
422904,The Changing Same,2001-10-10,0,0,Cauleen Smith,"['Drama', 'Science Fiction']",False,9
